freq_offset_hz,maxhold_db
91796.9,-83.180
92773.4,-83.330
93750.0,-84.169
94726.6,-84.180
95703.1,-83.733
96679.7,-83.162
97656.2,-84.214
98632.8,-84.679
99609.4,-83.979
100585.9,-83.870
101562.5,-84.126
102539.1,-84.120
103515.6,-82.854
104492.2,-83.888
105468.8,-84.077
106445.3,-83.921
107421.9,-84.325
108398.4,-83.434
109375.0,-84.156
110351.6,-84.680
111328.1,-84.227
112304.7,-83.346
113281.2,-84.088
114257.8,-84.659
115234.4,-84.385
116210.9,-84.758
117187.5,-85.085
118164.1,-84.098
119140.6,-84.403
120117.2,-85.228
121093.8,-83.989
122070.3,-84.180
123046.9,-84.351
124023.4,-83.254
125000.0,-82.420
125976.6,-83.771
126953.1,-83.980
127929.7,-84.624
128906.2,-84.442
129882.8,-83.888
130859.4,-84.182
131835.9,-84.892
132812.5,-84.413
133789.1,-84.842
134765.6,-84.906
135742.2,-84.657
136718.8,-84.074
137695.3,-83.662
138671.9,-78.171
139648.4,-76.786
140625.0,-82.450
141601.6,-83.425
142578.1,-84.597
143554.7,-84.467
144531.2,-83.976
145507.8,-83.133
146484.4,-84.914
147460.9,-84.965
148437.5,-84.449
149414.1,-84.451
150390.6,-84.223
151367.2,-83.229
152343.8,-85.126
153320.3,-84.776
154296.9,-83.835
155273.4,-84.727
156250.0,-84.633
157226.6,-84.480
158203.1,-83.884
159179.7,-85.264
160156.2,-84.463
161132.8,-85.520
162109.4,-85.656
163085.9,-84.173
164062.5,-84.321
165039.1,-84.766
166015.6,-84.179
166992.2,-84.750
167968.8,-84.285
168945.3,-85.217
169921.9,-84.333
170898.4,-85.169
171875.0,-84.315
172851.6,-84.031
173828.1,-84.268
174804.7,-85.136
175781.2,-84.151
176757.8,-84.354
177734.4,-84.590
178710.9,-84.716
179687.5,-84.196
180664.1,-84.494
181640.6,-82.575
182617.2,-84.275
183593.8,-83.953
184570.3,-84.560
185546.9,-84.706
186523.4,-84.889
187500.0,-84.543
188476.6,-84.683
189453.1,-85.159
190429.7,-85.084
191406.2,-84.290
192382.8,-84.029
193359.4,-85.058
194335.9,-84.174
195312.5,-83.417
196289.1,-84.968
197265.6,-84.425
198242.2,-83.667
199218.8,-83.493
200195.3,-84.577
201171.9,-84.125
202148.4,-84.621
203125.0,-84.529
204101.6,-85.497
205078.1,-84.298
206054.7,-83.574
207031.2,-84.450
208007.8,-84.109
208984.4,-84.110
209960.9,-84.540
210937.5,-84.769
211914.1,-83.943
212890.6,-84.541
213867.2,-84.455
214843.8,-79.393
215820.3,-76.913
216796.9,-81.258
217773.4,-84.202
218750.0,-84.124
219726.6,-83.949
220703.1,-83.681
221679.7,-84.173
222656.2,-83.648
223632.8,-85.073
224609.4,-83.905
225585.9,-83.655
226562.5,-84.493
227539.1,-84.418
228515.6,-85.388
229492.2,-84.832
230468.8,-84.350
231445.3,-82.856
232421.9,-85.170
233398.4,-84.122
234375.0,-84.749
235351.6,-84.261
236328.1,-84.365
237304.7,-85.068
238281.2,-84.137
239257.8,-83.852
240234.4,-83.708
241210.9,-84.544
242187.5,-83.784
243164.1,-85.014
244140.6,-84.092
245117.2,-84.572
246093.8,-84.942
247070.3,-85.112
248046.9,-83.705
249023.4,-84.973
250000.0,-85.224
250976.6,-84.955
251953.1,-84.247
252929.7,-84.329
253906.2,-83.618
254882.8,-85.206
255859.4,-84.948
256835.9,-83.647
257812.5,-84.513
258789.1,-84.602
259765.6,-83.502
260742.2,-83.575
261718.8,-83.226
262695.3,-84.459
263671.9,-84.749
264648.4,-84.741
265625.0,-84.881
266601.6,-84.270
267578.1,-84.789
268554.7,-84.186
269531.2,-85.198
270507.8,-83.783
271484.4,-84.461
272460.9,-84.869
273437.5,-85.517
274414.1,-84.765
275390.6,-84.968
276367.2,-84.784
277343.8,-83.886
278320.3,-84.391
279296.9,-84.883
280273.4,-84.145
281250.0,-84.407
282226.6,-84.416
283203.1,-85.342
284179.7,-84.456
285156.2,-84.024
286132.8,-84.985
287109.4,-85.117
288085.9,-85.179
289062.5,-83.833
290039.1,-85.244
291015.6,-85.211
291992.2,-85.052
292968.8,-83.796
293945.3,-84.717
294921.9,-84.511
295898.4,-83.921
296875.0,-84.765
297851.6,-84.411
298828.1,-85.408
299804.7,-84.035
300781.2,-83.697
301757.8,-83.537
302734.4,-84.882
303710.9,-84.926
304687.5,-85.363
305664.1,-84.648
306640.6,-84.671
307617.2,-84.789
308593.8,-85.121
309570.3,-85.239
310546.9,-84.557
311523.4,-84.135
312500.0,-85.188
313476.6,-84.181
314453.1,-83.634
315429.7,-84.461
316406.2,-84.152
317382.8,-84.053
318359.4,-84.342
319335.9,-84.154
320312.5,-85.426
321289.1,-85.158
322265.6,-84.975
323242.2,-84.930
324218.8,-85.076
325195.3,-83.803
326171.9,-84.205
327148.4,-84.120
328125.0,-84.451
329101.6,-86.002
330078.1,-84.399
331054.7,-84.507
332031.2,-84.380
333007.8,-84.038
333984.4,-84.479
334960.9,-83.987
335937.5,-85.291
336914.1,-85.068
337890.6,-84.732
338867.2,-84.569
339843.8,-85.000
340820.3,-85.659
341796.9,-84.412
342773.4,-85.281
343750.0,-85.140
344726.6,-85.204
345703.1,-85.075
346679.7,-84.986
347656.2,-84.151
348632.8,-84.028
349609.4,-84.891
350585.9,-85.246
351562.5,-85.386
352539.1,-84.965
353515.6,-84.946
354492.2,-84.575
355468.8,-84.276
356445.3,-84.926
357421.9,-85.033
358398.4,-84.163
359375.0,-85.186
360351.6,-83.958
361328.1,-84.149
362304.7,-85.688
363281.2,-84.236
364257.8,-84.956
365234.4,-84.961
366210.9,-84.617
367187.5,-84.979
368164.1,-85.622
369140.6,-84.585
370117.2,-85.320
371093.8,-84.089
372070.3,-84.585
373046.9,-84.998
374023.4,-85.726
375000.0,-84.366
375976.6,-84.914
376953.1,-85.306
377929.7,-83.671
378906.2,-84.075
379882.8,-84.511
380859.4,-84.788
381835.9,-84.719
382812.5,-84.687
383789.1,-85.140
384765.6,-85.186
385742.2,-84.648
386718.8,-84.276
387695.3,-84.586
388671.9,-85.164
389648.4,-84.485
390625.0,-84.550
391601.6,-85.181
392578.1,-84.682
393554.7,-85.043
394531.2,-84.463
395507.8,-85.005
396484.4,-84.948
397460.9,-85.074
398437.5,-84.575
399414.1,-84.884
400390.6,-84.574
401367.2,-85.513
402343.8,-84.811
403320.3,-85.094
404296.9,-85.366
405273.4,-84.738
406250.0,-85.663
407226.6,-85.185
408203.1,-84.850
409179.7,-84.577
410156.2,-85.109
411132.8,-85.561
412109.4,-85.268
413085.9,-84.962
414062.5,-84.832
415039.1,-85.131
416015.6,-85.183
416992.2,-85.519
417968.8,-85.138
418945.3,-84.236
419921.9,-85.190
420898.4,-85.037
421875.0,-85.175
422851.6,-84.706
423828.1,-84.107
424804.7,-85.317
425781.2,-85.343
426757.8,-84.996
427734.4,-84.751
428710.9,-84.982
429687.5,-84.697
430664.1,-85.502
431640.6,-85.572
432617.2,-85.443
433593.8,-84.309
434570.3,-85.139
435546.9,-84.974
436523.4,-85.248
437500.0,-85.880
438476.6,-85.835
439453.1,-84.746
440429.7,-84.652
441406.2,-85.775
442382.8,-85.736
443359.4,-85.824
444335.9,-85.307
445312.5,-85.167
446289.1,-85.585
447265.6,-85.685
448242.2,-84.850
449218.8,-85.783
450195.3,-86.556
451171.9,-85.343
452148.4,-85.913
453125.0,-84.884
454101.6,-84.279
455078.1,-86.510
456054.7,-85.947
457031.2,-85.771
458007.8,-85.615
458984.4,-85.110
459960.9,-85.484
460937.5,-84.486
461914.1,-87.341
462890.6,-86.458
463867.2,-86.634
464843.8,-85.937
465820.3,-86.181
466796.9,-85.542
467773.4,-86.564
468750.0,-87.013
469726.6,-87.762
470703.1,-86.483
471679.7,-88.166
472656.2,-85.388
473632.8,-86.154
474609.4,-87.737
475585.9,-87.567
476562.5,-87.467
477539.1,-86.475
478515.6,-86.658
479492.2,-87.541
480468.8,-84.758
481445.3,-86.344
482421.9,-87.291
483398.4,-88.377
484375.0,-86.928
485351.6,-88.570
486328.1,-87.887
487304.7,-88.317
488281.2,-88.632
489257.8,-87.960
490234.4,-87.849
491210.9,-88.367
492187.5,-88.651
493164.1,-88.610
494140.6,-87.706
495117.2,-88.845
496093.8,-86.749
497070.3,-87.149
498046.9,-89.033
499023.4,-88.315
