freq_offset_hz,active_frames,occupancy_fraction
422851.6,0,0.0000
423828.1,0,0.0000
424804.7,0,0.0000
425781.2,0,0.0000
426757.8,0,0.0000
427734.4,0,0.0000
428710.9,0,0.0000
429687.5,0,0.0000
430664.1,0,0.0000
431640.6,0,0.0000
432617.2,0,0.0000
433593.8,0,0.0000
434570.3,0,0.0000
435546.9,0,0.0000
436523.4,0,0.0000
437500.0,0,0.0000
438476.6,0,0.0000
439453.1,0,0.0000
440429.7,0,0.0000
441406.2,0,0.0000
442382.8,0,0.0000
443359.4,0,0.0000
444335.9,0,0.0000
445312.5,0,0.0000
446289.1,0,0.0000
447265.6,0,0.0000
448242.2,0,0.0000
449218.8,0,0.0000
450195.3,0,0.0000
451171.9,0,0.0000
452148.4,0,0.0000
453125.0,0,0.0000
454101.6,0,0.0000
455078.1,0,0.0000
456054.7,0,0.0000
457031.2,0,0.0000
458007.8,0,0.0000
458984.4,0,0.0000
459960.9,0,0.0000
460937.5,0,0.0000
461914.1,0,0.0000
462890.6,0,0.0000
463867.2,0,0.0000
464843.8,0,0.0000
465820.3,0,0.0000
466796.9,0,0.0000
467773.4,0,0.0000
468750.0,0,0.0000
469726.6,0,0.0000
470703.1,0,0.0000
471679.7,0,0.0000
472656.2,0,0.0000
473632.8,0,0.0000
474609.4,0,0.0000
475585.9,0,0.0000
476562.5,0,0.0000
477539.1,0,0.0000
478515.6,0,0.0000
479492.2,0,0.0000
480468.8,0,0.0000
481445.3,0,0.0000
482421.9,0,0.0000
483398.4,0,0.0000
484375.0,0,0.0000
485351.6,0,0.0000
486328.1,0,0.0000
487304.7,0,0.0000
488281.2,0,0.0000
489257.8,0,0.0000
490234.4,0,0.0000
491210.9,0,0.0000
492187.5,0,0.0000
493164.1,0,0.0000
494140.6,0,0.0000
495117.2,0,0.0000
496093.8,0,0.0000
497070.3,0,0.0000
498046.9,0,0.0000
499023.4,0,0.0000
